Format Version,1.22,Take Name,Calibration_diabolo_green_2020-06-18,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,21 Dec 1969 01:58:15 +0900,Total Frames in Take,223,Total Exported Frames,223,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green,diabolo_green
,,"1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181","1F974DF8B12211EAC8808BD7B5C0B181"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
180,1.500000,0.022397,0.904759,0.055281,-0.421728,-0.007912,0.045957,0.042985
181,1.508333,0.022408,0.904749,0.055467,-0.421724,-0.007913,0.045961,0.042989
182,1.516667,0.022384,0.904737,0.055522,-0.421744,-0.007917,0.045963,0.042994
183,1.525000,0.022385,0.904759,0.055194,-0.421740,-0.007920,0.045973,0.042993
184,1.533333,0.022392,0.904772,0.055187,-0.421712,-0.007916,0.045976,0.042994
185,1.541667,0.022272,0.904774,0.055224,-0.421709,-0.007919,0.045974,0.042989
186,1.550000,0.022376,0.904761,0.055414,-0.421705,-0.007917,0.045970,0.042989
187,1.558333,0.022491,0.904744,0.055312,-0.421751,-0.007917,0.045963,0.042988
188,1.566667,0.022517,0.904739,0.055359,-0.421753,-0.007915,0.045962,0.042987
189,1.575000,0.022471,0.904736,0.055433,-0.421753,-0.007911,0.045960,0.042989
190,1.583333,0.022455,0.904753,0.055356,-0.421726,-0.007910,0.045962,0.042994
191,1.591667,0.022454,0.904763,0.055420,-0.421697,-0.007914,0.045961,0.042990
192,1.600000,0.022426,0.904749,0.055355,-0.421737,-0.007913,0.045963,0.042986
193,1.608333,0.022500,0.904756,0.055254,-0.421732,-0.007912,0.045966,0.042985
194,1.616667,0.022473,0.904755,0.055350,-0.421722,-0.007916,0.045963,0.042985
195,1.625000,0.022369,0.904751,0.055446,-0.421724,-0.007916,0.045966,0.042991
196,1.633333,0.022416,0.904733,0.055580,-0.421743,-0.007916,0.045968,0.042994
197,1.641667,0.022432,0.904741,0.055413,-0.421747,-0.007917,0.045970,0.042991
198,1.650000,0.022551,0.904690,0.055564,-0.421829,-0.007917,0.045968,0.042986
199,1.658333,0.022487,0.904721,0.055607,-0.421761,-0.007914,0.045972,0.042990
200,1.666667,0.022308,0.904788,0.055191,-0.421682,-0.007912,0.045967,0.042989
201,1.675000,0.022290,0.904763,0.055261,-0.421727,-0.007910,0.045961,0.042993
202,1.683333,0.022447,0.904745,0.055581,-0.421715,-0.007912,0.045961,0.042994
203,1.691667,0.022430,0.904742,0.055560,-0.421725,-0.007912,0.045964,0.042987
204,1.700000,0.022343,0.904759,0.055263,-0.421733,-0.007914,0.045968,0.042986
205,1.708333,0.022418,0.904768,0.055391,-0.421691,-0.007913,0.045974,0.042984
206,1.716667,0.022316,0.904733,0.055476,-0.421761,-0.007918,0.045975,0.042987
207,1.725000,0.022550,0.904739,0.055449,-0.421740,-0.007915,0.045967,0.042991
208,1.733333,0.022472,0.904734,0.055524,-0.421745,-0.007914,0.045965,0.042993
209,1.741667,0.022472,0.904741,0.055266,-0.421763,-0.007914,0.045964,0.042993
210,1.750000,0.022452,0.904796,0.055064,-0.421674,-0.007913,0.045965,0.042986
211,1.758333,0.022555,0.904739,0.055408,-0.421745,-0.007913,0.045973,0.042985
212,1.766667,0.022372,0.904750,0.055464,-0.421724,-0.007912,0.045965,0.042989
213,1.775000,0.022398,0.904768,0.055183,-0.421720,-0.007912,0.045962,0.042992
214,1.783333,0.022494,0.904736,0.055502,-0.421742,-0.007915,0.045964,0.042992
215,1.791667,0.022343,0.904799,0.055086,-0.421669,-0.007914,0.045964,0.042989
216,1.800000,0.022403,0.904770,0.055266,-0.421705,-0.007911,0.045971,0.042990
217,1.808333,0.022327,0.904736,0.055244,-0.421784,-0.007912,0.045967,0.042987
218,1.816667,0.022369,0.904765,0.055445,-0.421694,-0.007914,0.045971,0.042990
219,1.825000,0.022664,0.904714,0.055337,-0.421802,-0.007916,0.045970,0.042994
220,1.833333,0.022369,0.904743,0.055187,-0.421776,-0.007911,0.045966,0.042988
221,1.841667,0.022291,0.904754,0.055472,-0.421719,-0.007909,0.045963,0.042986
222,1.850000,0.022369,0.904751,0.055451,-0.421724,-0.007912,0.045959,0.042990
