,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker1,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker2,diabolo_red:Marker3,diabolo_red:Marker3,diabolo_red:Marker3,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:Unlabeled 1031,tracker:tracking_marker_0,tracker:tracking_marker_0,tracker:tracking_marker_0
,,"803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","803A3552773511EAC7808BD7B5C2AB81","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4BC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","562CCB4CC75A11EAC8808BD7B5C0B781","C6B60","C6B60","C6B60","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","39B8B0B1C75A11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781","D86B6AD5C75C11EAC8808BD7B5C0B781"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
52,0.433333,0.956340,0.039045,-0.010350,-0.289450,-0.005987,0.007319,0.047294,-0.002554,-0.032905,0.028962,-0.006501,0.014621,0.014594,-0.008905,0.040248,0.098318,,,,,,
53,0.441667,0.956324,0.039020,-0.010353,-0.289508,-0.005986,0.007312,0.047289,-0.002556,-0.032909,0.028951,-0.006501,0.014616,0.014595,-0.008902,0.040235,0.098316,,,,,,
54,0.450000,0.956299,0.039039,-0.010403,-0.289587,-0.005983,0.007304,0.047287,-0.002551,-0.032918,0.028941,-0.006502,0.014616,0.014595,-0.008897,0.040219,0.098318,,,,,,
55,0.458333,0.956272,0.039020,-0.010419,-0.289678,-0.005981,0.007294,0.047286,-0.002552,-0.032925,0.028935,-0.006501,0.014613,0.014595,-0.008891,0.040198,0.098323,,,,,,
56,0.466667,0.956251,0.038998,-0.010465,-0.289748,-0.005979,0.007288,0.047285,-0.002551,-0.032931,0.028927,-0.006502,0.014616,0.014600,-0.008883,0.040185,0.098323,,,,,,
57,0.475000,0.956254,0.039006,-0.010481,-0.289738,-0.005977,0.007289,0.047285,-0.002549,-0.032931,0.028927,-0.006502,0.014615,0.014600,-0.008881,0.040188,0.098323,,,,,,
58,0.483333,0.956269,0.038998,-0.010460,-0.289689,-0.005975,0.007291,0.047285,-0.002548,-0.032929,0.028931,-0.006498,0.014612,0.014601,-0.008880,0.040195,0.098319,,,,,,
59,0.491667,0.956295,0.038996,-0.010425,-0.289606,-0.005976,0.007303,0.047284,-0.002549,-0.032921,0.028937,-0.006497,0.014620,0.014598,-0.008884,0.040216,0.098311,,,,,,
60,0.500000,0.956344,0.039003,-0.010373,-0.289442,-0.005979,0.007320,0.047283,-0.002550,-0.032912,0.028950,-0.006496,0.014626,0.014592,-0.008893,0.040252,0.098301,,,,,,
61,0.508333,0.956398,0.039012,-0.010316,-0.289266,-0.005981,0.007337,0.047283,-0.002550,-0.032900,0.028962,-0.006493,0.014628,0.014594,-0.008901,0.040289,0.098288,,,,,,
