Format Version,1.22,Take Name,Take 2020-07-16 stick_left_downward_calib,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,18 Jan 1970 09:19:35 +0900,Total Frames in Take,3068,Total Exported Frames,2372,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left,stick_left
,,"554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81","554EA255773611EAC7808BD7B5C2AB81"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z
195,1.625000,-0.641933,-0.456599,0.454077,-0.416238,-0.001881,0.007229,0.104466
196,1.633333,-0.642252,-0.456553,0.453983,-0.415899,-0.001861,0.007176,0.104473
197,1.641667,-0.642444,-0.456614,0.453854,-0.415676,-0.001848,0.007127,0.104475
198,1.650000,-0.642600,-0.456582,0.453962,-0.415351,-0.001847,0.007072,0.104468
199,1.658333,-0.642639,-0.456791,0.453759,-0.415282,-0.001824,0.007048,0.104470
200,1.666667,-0.642679,-0.456870,0.453767,-0.415125,-0.001812,0.007019,0.104469
201,1.675000,-0.642936,-0.456632,0.454007,-0.414727,-0.001817,0.006954,0.104465
202,1.683333,-0.641029,-0.457196,0.455391,-0.415540,-0.001872,0.006913,0.104367
203,1.691667,-0.641000,-0.457108,0.455714,-0.415326,-0.001865,0.006883,0.104355
204,1.700000,-0.641046,-0.457170,0.455677,-0.415228,-0.001830,0.006878,0.104358
205,1.708333,-0.640972,-0.457269,0.455749,-0.415154,-0.001789,0.006886,0.104359
206,1.716667,-0.641062,-0.457159,0.455955,-0.414910,-0.001758,0.006876,0.104359
207,1.725000,-0.640950,-0.457222,0.456114,-0.414838,-0.001712,0.006890,0.104359
208,1.733333,-0.640716,-0.457414,0.456232,-0.414859,-0.001652,0.006906,0.104360
